,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
47,GENOA,SAMPDORIA,0-1,0-0,2.8,5.9,6.6,50,50,2,3,7,2,3,19,73,11,23,22,3,0,0,5,1,9,3,5,27,72,14,23,23,4,0,0,0,1,1,0,2014
48,UDINESE,PARMA,04-Feb,02-Feb,8.3,7,5.4,39,61,4,5,12,3,6,28,76,11,42,8,2,0,0,6,6,18,6,4,37,83,16,11,12,1,1,0,4,2,2,4,2014
49,PALERMO,LAZIO,0-4,0-1,6.4,5,8.5,50,50,6,4,17,7,4,20,78,21,28,12,2,0,0,1,10,15,4,1,22,78,13,36,16,4,0,0,0,4,4,0,2014
50,HELLAS,CAGLIARI,1-0,0-0,5.3,6.5,6.4,55,45,5,5,13,3,5,10,78,12,32,13,1,0,0,6,7,19,6,11,19,79,14,40,17,3,0,0,1,0,0,1,2014
51,MILAN,CHIEVO,2-0,0-0,4.1,6.9,5.5,65,35,10,4,22,8,9,23,85,13,24,10,2,0,0,4,2,10,4,2,17,65,12,31,25,5,0,0,2,0,0,2,2014
52,EMPOLI,PALERMO,3-0,2-0,5.7,8.7,4.9,63,37,2,12,21,7,12,22,86,16,22,18,0,0,0,2,2,7,3,4,20,78,7,22,25,4,0,0,3,0,0,3,2014
53,LAZIO,SASSUOLO,03-Feb,03-Jan,8.9,6.6,5.7,53,47,3,9,13,1,4,17,77,14,25,21,3,1,0,5,6,12,1,1,28,77,15,37,12,2,1,0,3,2,2,3,2014
54,PARMA,GENOA,01-Feb,0-0,6.1,5.6,6.6,54,46,7,2,12,3,6,22,76,5,21,26,2,0,0,7,5,14,2,3,15,76,8,33,12,3,1,0,1,2,2,1,2014
55,UDINESE,CESENA,01-Jan,0-0,4.5,5,7.5,52,48,9,3,14,2,7,23,82,17,13,10,3,0,0,2,5,7,0,1,23,85,19,39,12,3,0,0,1,1,1,1,2014
56,SAMPDORIA,ATALANTA,1-0,1-0,3.2,6.3,5.7,42,58,6,3,16,7,3,16,77,15,31,19,3,0,0,6,1,9,2,4,13,84,15,23,14,3,0,0,1,0,0,1,2014
